"","YEAR","GEOID","A","B","C"
"506",1990,"220190013001",1618,1618,1618
"507",1990,"220190013002",1012,1012,1012
"508",1990,"220190013003",1563,1563,1563
"509",1990,"220190013004",959,959,959
"510",1990,"220190013005",1156,1156,1156
"511",1990,"220190014001",1002,1002,1002
"512",1990,"220190014002",1013,1013,1013
"513",1990,"220190014003",792,792,792
"514",1990,"220190014004",795,795,795
"515",1990,"220190014005",931.29,931.29,931.29
"516",1990,"220190014006",1115.46,1115.46,1115.46
"517",1990,"220190014007",900,900,900
"518",1990,"220190015001",1304,1304,1304
"519",1990,"220190015002",944.26,944.26,944.26
"520",1990,"220190016001",1025.04,1025.04,1025.04
"521",1990,"220190016002",2295.97,2295.97,2295.97
"522",1990,"220190016003",0,0,0
"523",1990,"220190016004",1432,1432,1432
"524",1990,"220190017001",2062.03,2062.03,2062.03
"525",1990,"220190017002",1857,1857,1857
"526",1990,"220190017003",920,920,920
"527",1990,"220190017004",1087,1087,1087
"528",1990,"220190018011",1602,1602,1602
"529",1990,"220190018012",745,745,745
"530",1990,"220190018013",713,713,713
"531",1990,"220190018014",987,987,987
"532",1990,"220190018015",741,741,741
"533",1990,"220190019011",1451,1451,1451
"534",1990,"220190019012",1859,1859,1859
"535",1990,"220190019031",1449.37,1449.37,1449.37
"536",1990,"220190019032",1486,1486,1486
"537",1990,"220190019033",939.63,939.63,939.63
"538",1990,"220190019041",705,705,705
"539",1990,"220190019042",1204,1204,1204
"540",1990,"220190019043",979,979,979
"541",1990,"220190020001",992,992,992
"542",1990,"220190020002",1854,1854,1854
"543",1990,"220190020003",1367.2,1367.2,1367.2
"544",1990,"220190020004",1761,1761,1761
"545",1990,"220190021001",1243,1243,1243
"546",1990,"220190021002",1342.81,1342.81,1342.81
"547",1990,"220190022011",1330.41,1330.41,1330.41
"548",1990,"220190022012",1274.51,1274.51,1274.51
"549",1990,"220190022013",1704,1704,1704
"550",1990,"220190022031",942,942,942
"551",1990,"220190022032",1478,1478,1478
"552",1990,"220190022033",1631.49,1631.49,1631.49
"553",1990,"220190022041",1797,1797,1797
"554",1990,"220190022042",1417,1417,1417
"555",1990,"220190022043",768.59,768.59,768.59
"556",1990,"220190023001",2134,2134,2134
"557",1990,"220190024001",1152,1152,1152
"558",1990,"220190024002",1222.13,1222.13,1222.13
"559",1990,"220190024003",949,949,949
"560",1990,"220190024004",864,864,864
"561",1990,"220190024005",947,947,947
"562",1990,"220190024006",1003,1003,1003
"563",1990,"220190025001",987,987,987
"564",1990,"220190025002",1816,1816,1816
"565",1990,"220190026001",1651,1651,1651
"566",1990,"220190026002",1283,1283,1283
"567",1990,"220190026003",1367,1367,1367
"568",1990,"220190026004",1090,1090,1090
"569",1990,"220190027001",1809,1809,1809
"570",1990,"220190027002",2327,2327,2327
"571",1990,"220190027003",1208.66,1208.66,1208.66
"572",1990,"220190027004",1253.86,1253.86,1253.86
"573",1990,"220190028001",2239,2239,2239
"574",1990,"220190028002",671,671,671
"575",1990,"220190028003",1164,1164,1164
"576",1990,"220190028004",762,762,762
"577",1990,"220190029001",1069,1069,1069
"578",1990,"220190029002",1142.9,1142.9,1142.9
"579",1990,"220190030001",805.33,805.33,805.33
"580",1990,"220190030002",1377.63,1377.63,1377.63
"581",1990,"220190030003",1672.69,1672.69,1672.69
"582",1990,"220190030004",1448.06,1448.06,1448.06
"583",1990,"220190031011",2286.39,2286.39,2286.39
